lat	lon	stars	diff	miles	high	low	ascent	desct	title	url
33.316982	-86.766899	3.3	greenBlue	0.4	694	651	0	-44	Foreplay	http://www.mtbproject.com//trail/5441375/foreplay
33.313837	-86.769657	3.3	blueBlack	2.0	737	569	206	-187	Johnson's Mountain	http://www.mtbproject.com//trail/1374929/johnsons-mountain
33.32319	-86.764285	3.3	green	2.1	585	503	159	-157	Lake Trail	http://www.mtbproject.com//trail/102242/lake-trail
33.339402	-86.731856	3.0	blue	0.4	631	548	31	-83	Garrett's Gulch	http://www.mtbproject.com//trail/107458/garretts-gulch
33.34401	-86.735063	3.0	blue	0.8	556	532	30	-18	The Chimneys	http://www.mtbproject.com//trail/106726/the-chimneys
33.328954	-86.751358	3.0	blue	1.6	563	520	79	-90	Seven Bridges	http://www.mtbproject.com//trail/103029/seven-bridges
33.637482	-85.854884	3.0	greenBlue	0.5	1246	1200	50	-29	Chilowhee Extension	http://www.mtbproject.com//trail/7005162/chilowhee-extension
32.538004	-84.882934	3.0	greenBlue	0.7	431	368	62	-3	Conjunction Junction	http://www.mtbproject.com//trail/7002153/conjunction-junction
32.537913	-84.884129	3.0	blue	0.3	400	367	11	-33	Skinny Pines	http://www.mtbproject.com//trail/7002152/skinny-pines
32.541154	-84.881676	3.0	blue	0.4	405	379	30	-16	Lakeside	http://www.mtbproject.com//trail/7002148/lakeside
32.545008	-84.885333	3.0	green	0.5	435	400	26	-37	Wide Open	http://www.mtbproject.com//trail/7002147/wide-open
32.542222	-84.88518	3.0	blueBlack	0.5	432	386	60	-43	The Roller Coaster	http://www.mtbproject.com//trail/7002073/the-roller-coaster
32.538087	-84.882862	3.0	blue	0.4	424	375	49	-3	Heart Burn!	http://www.mtbproject.com//trail/7002072/heart-burn
32.54413	-84.878523	3.0	greenBlue	0.7	447	425	20	-24	Unidentified Flying Object	http://www.mtbproject.com//trail/7002067/unidentified-flying-object
32.543494	-84.878487	3.0	green	2.2	463	429	73	-70	The Bunny Loop	http://www.mtbproject.com//trail/7002066/the-bunny-loop
32.91509	-85.184346	3.0	blueBlack	0.2	694	666	25	-28	Adventure Jam	http://www.mtbproject.com//trail/7001913/adventure-jam
33.705499	-84.875577	3.0	blue	0.4	1087	996	90	-5	Old Riverbed Trail	http://www.mtbproject.com//trail/7000671/old-riverbed-trail
33.703818	-84.877032	3.0	blueBlack	0.8	1041	973	92	-37	Granite Loop	http://www.mtbproject.com//trail/6493537/granite-loop
										
32.564793	-85.458494	3.0	greenBlue	1.7	568	530	68	-73	Lake Whilmore Trail	http://www.mtbproject.com//trail/4337823/lake-whilmore-trail
33.32081	-86.764608	2.7	green	0.6	584	559	10	-34	Family Trail	http://www.mtbproject.com//trail/111134/family-trail
33.356676	-86.704933	2.5	blue	2.3	1126	607	529	-10	Red Road	http://www.mtbproject.com//trail/104519/red-road
33.337991	-86.741602	2.0	green	0.6	592	530	62	0	Group Camp Road	http://www.mtbproject.com//trail/108177/group-camp-road
										
33.214508	-87.448496	1.0	greenBlue	0.6	259	228	34	-6	APCO Road	http://www.mtbproject.com//trail/4375092/apco-road
33.309265	-86.761922	4.0	green	0.8	870	812	72	-44	Centipede	http://www.mtbproject.com//trail/7007163/centipede
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
30.552167	-87.244515	3.8	blue	18.2	131	7	900	-906	UWF Trail System - 2015	http://www.mtbproject.com//trail/7005117/uwf-trail-system-2015
30.694829	-88.196083	3.0	blueBlack	10.3	220	168	330	-327	University of South Alabama - Full Loop	http://www.mtbproject.com//trail/4695060/university-of-south-alabama-full-loop
30.780704	-88.097735	5.0	blue	0.2	32	28	6	-6	Coaster Trail	http://www.mtbproject.com//trail/7006651/coaster-trail
30.555779	-87.248162	5.0	blueBlack	0.6	122	56	19	-66	Donkey Kong	http://www.mtbproject.com//trail/7005481/donkey-kong
30.55991	-87.223746	4.0	blueBlack	1.6	60	7	94	-83	WTF - Whisky, Tango, Foxtrot	http://www.mtbproject.com//trail/7005724/wtf-whisky-tango-foxtrot
30.779677	-88.096585	4.0	black	0.1	34	27	2	-6	Connector Trail	http://www.mtbproject.com//trail/7006660/connector-trail
30.558827	-87.248189	4.0	blue	1.1	120	62	77	-34	Paperboy	http://www.mtbproject.com//trail/7005482/paperboy
30.556599	-87.243581	4.0	green	0.3	124	115	8	-9	Hangman	http://www.mtbproject.com//trail/7005261/hangman
30.558108	-87.241587	4.0	blue	1.7	121	83	61	-70	Labyrinth	http://www.mtbproject.com//trail/7005260/labyrinth
30.550024	-87.240266	4.0	greenBlue	1.0	97	58	67	-66	Wolf Pelt	http://www.mtbproject.com//trail/7005255/wolf-pelt
30.694134	-88.202506	4.0	greenBlue	1.5	211	182	50	-47	TTT	http://www.mtbproject.com//trail/4693702/ttt
